new2kid,Population,Population_density,Households,Med_hh_inc
"143107",5431.28829653956,13.5782207413489,2257.89674941754,56943
"143108",2607.8470804168,6.519617701042,1084.26431663067,56300
"143109",2093.59134855016,5.2339783713754,872.170756577957,56231
"143110",2045.50206545819,5.11375516364547,851.588554239267,55986
"143111",1922.66389108213,4.80665972770533,799.096039811416,56050
"143112",1021.99969535807,2.55499923839517,421.045744369948,53480
"143113",1206.81758863708,3.0170439715927,504.771230879166,53100
"143114",1424.15072022606,3.56037680056515,592.169697559329,53100
"143115",1280.65054836634,3.20162637091585,531.292856185471,54200
"143116",1003.44726199999,2.50861815499998,420.001327980884,56434
"143117",2019.88676499324,5.0497169124831,839.390715247172,56300
"143118",1216.36384329753,3.04090960824382,513.994909637251,56300
"143119",845.765895276299,2.11441473819075,363.792512505077,56241
"143120",1040.00539669809,2.60001349174521,452.087141005584,54407
"143121",1117.67678015786,2.79419195039466,483.735309607243,53200
"143122",901.860769790319,2.2546519244758,371.225091000547,51622
"143123",1563.12218690669,3.90780546726673,654.628746334032,50081
"143124",1358.53934299597,3.39634835748994,560.421833890072,49589
"143125",1210.24389962314,3.02560974905785,494.358657452856,49350
"143126",1327.82421151016,3.31956052877541,546.738748931502,49545
"143127",1116.09457987367,2.79023644968416,464.413467050002,49548
"143128",637.856993968562,1.59464248492141,265.835680148964,49200
"143129",838.387091768709,2.09596772942177,362.19495859409,48679
"143130",6077.18345461989,15.1929586365497,2672.75890211924,44132
"143131",15362.0094021157,38.4050235052892,6508.63084344046,46101
"143132",1559.64758424045,3.89911896060113,657.668203315576,49200
"143133",1869.12593869856,4.6728148467464,796.729904689645,49512
"143134",1449.43216617999,3.62358041544997,609.188879823098,49646
"143135",1642.46933144175,4.10617332860439,694.927163192034,49900
"143136",2555.12964454134,6.38782411135334,1072.64610731189,49248
"143137",2929.01661086106,7.32254152715266,1226.90148095634,47900
"143138",5349.80406620974,13.3745101655244,2249.26960418444,48125
"143139",1859.3287622403,4.64832190560076,765.31934234039,50192
"143140",1136.10732963639,2.84026832409097,478.106068683766,50300
"143141",1176.67820713695,2.94169551784239,490.849822706387,50300
"143142",1529.17353114092,3.82293382785231,637.529765237505,50113
"143143",3906.52395020078,9.76630987550195,1657.35378323994,48919
"143144",2909.99632593821,7.27499081484554,1221.27611860915,49475
"143145",2197.69931947913,5.49424829869784,881.851302580054,50351
"143146",41098.1619576984,102.745404894246,17865.5014229848,44175
"143147",40088.6980629606,100.221745157402,16971.9893652766,43706
"143148",7312.44272748842,18.281106818721,3059.60965187728,45905
"143149",4290.01855315702,10.7250463828925,1819.51966422068,46388
"143150",1461.64252508623,3.65410631271558,669.450823714209,46439
"143151",3577.29008771463,8.94322521928658,1681.38741383129,46500
"143152",3187.23972564618,7.96809931411546,1400.58347526558,46500
"143153",2909.65082767324,7.27412706918311,1246.83103346186,46500
"143154",9935.10978648427,24.8377744662107,4382.09566899302,41046
"143155",15188.5465716067,37.9713664290168,6193.04764340331,39372
"143156",15111.9913507646,37.7799783769116,6281.64008160261,47428
"143157",15584.8221696261,38.9620554240652,6501.19159364523,45000
"143158",3938.71640305759,9.84679100764397,1759.98332735651,47165
"143159",1915.31984641487,4.78829961603718,774.594723750768,57100
"143160",1544.89896764374,3.86224741910936,633.770533573772,54433
"143161",733.754495092372,1.83438623773093,320.144415444046,46574
"143162",2216.87733662361,5.54219334155904,957.567059391701,47287
"143163",3160.70437122542,7.90176092806355,1322.96760075181,50656
"143164",4047.53822029917,10.1188455507479,1642.99614251418,55700
"143165",4854.6757739709,12.1366894349272,1945.26240207439,55700
"143166",5110.61795979728,12.7765448994932,2427.7701929839,54513
"143167",36102.2795787109,90.2556989467772,15746.875802779,41029
"143168",24454.4423353046,61.1361058382615,10985.41573137,45341
"143169",4969.05949086078,12.4226487271519,2198.75205707527,46625
"143170",7564.23044586575,18.9105761146644,3386.14914933947,45600
"143171",6217.65849201528,15.5441462300382,2646.38613398581,40989
"143172",7348.17347958855,18.3704336989714,3037.62336585286,39971
"143173",7513.40833150547,18.7835208287637,3113.62707184834,40767
"143174",29711.976284906,74.2799407122651,12760.7668173975,35467
"143175",26313.6033439301,65.7840083598252,11509.6787399574,35812
"143176",22620.4495873202,56.5511239683004,10080.9149370418,41481
"143177",30463.730268455,76.1593256711375,13896.2825274337,32879
"143178",11193.1893531284,27.9829733828211,5092.42449101219,34019
"143179",8827.59476238996,22.0689869059749,3845.76497133032,35623
"143180",4874.13150698232,12.1853287674558,2197.7121385741,35625
"143181",25691.158392262,64.227895980655,11606.7523944098,34772
"143182",25547.7377207165,63.8693443017913,11644.4814870459,34952
"143183",16064.7025569958,40.1617563924894,7051.79847735291,33545
"143184",9952.92426911783,24.8823106727946,4500.74878019992,37546
"143185",19232.2559288223,48.0806398220556,8796.50672965751,38046
"143186",28065.1481170632,70.1628702926579,12440.1450912252,35563
"143187",23716.507531507,59.2912688287675,10391.5853152632,32311
"143188",4456.40816713318,11.1410204178329,2035.70761703932,34102
