new2kid,ha_2031,urban_ha,ha_change
"68283",5.3124999627471,5.3125,-0
"68284",7.06249987706542,7.0625,-0
"68285",7.62500017881393,7.625,0
"68286",3.00000002607703,3,0
"68287",16.4999998640269,16.5,-0
"68288",3.74999991618097,3.75,-0
"68289",3.43750002793968,3.4375,0
"68290",7.49999992549419,7.5,-0
"68291",40.0625005364418,40.0625,0
"68292",8.68749977089465,8.6875,-0
"68293",2.81249997206032,2.8125,-0
"68294",10.6874998658895,10.6875,-0
"68295",26.5000001527369,26.5,0
"68926",36.3749992102385,36.375,-0
"68927",11.3750000484288,11.375,0
"68928",9.25000058487058,9.25,0
"68929",6.93749981001019,6.9375,-0
"68930",9.37499981373549,9.375,-0
"68931",6.06250017881393,6.0625,0
"68932",20.7500002812594,20.75,0
"68933",2.43750000372529,2.4375,0
"68934",5.68749997764826,5.6875,-0
"68935",1.68750006705523,1.6875,0
"68936",25.8750002365559,25.875,0
"68937",1.37499999254942,1.375,-0
"68938",10.500000230968,10.5,0
"68939",13.8124998658895,13.8125,-0
"68940",40.8125013113022,40.8125,0
"68941",13.8124998658895,13.8125,-0
"68942",5.06250006146729,5.0625,0
"68943",2.56249997764826,2.5625,-0
"68944",1.99999995529652,2,-0
"68945",0.812499970197678,0.8125,-0
"68946",22.1874989569187,22.1875,-0
"68947",23.5625011846423,23.5625,0
"69575",7.4375000782311,7.4375,0
"69576",6.81250002235174,6.8125,0
"69577",9.06249983236194,9.0625,-0
"69578",3.62500003539026,3.625,0
"69579",4.68749990686774,4.6875,-0
"69580",10.3749997913837,10.375,-0
"69581",18.5000000521541,18.5,0
"69582",11.5624999627471,11.5625,-0
"69583",5.43750005308539,5.4375,0
"69584",6.31249994039536,6.3125,-0
"69585",4.37499992549419,4.375,-0
"69586",19.6875003166497,19.6875,0
"69587",7.93750006705523,7.9375,0
"69588",0,0,0
"69589",0.124999997206032,0.125,-0
"69590",1.18749998509884,1.1875,-0
"69591",27.4999996647239,27.5,-0
"69592",39.6249987185001,39.625,-0
"69593",3.24999990407377,3.25,-0
"69594",4.18750010430813,4.1875,0
"69595",12.9374999552965,12.9375,-0
"69596",12.1249999850988,12.125,-0
"69597",9.74999982863665,9.75,-0
"69598",20.3125,20.3125,0
"70225",1.49999996647239,1.5,-0
"70226",12.7499999478459,12.75,-0
"70227",9.50000025331974,9.5,0
"70228",7.8125,7.8125,0
"70229",27.4375000968575,27.4375,0
"70230",5.6250000372529,5.625,0
"70231",14.1875005792826,14.1875,0
"70232",6.43750000745058,6.4375,0
"70233",4.12499997764826,4.125,-0
"70234",19.9999995529652,20,-0
"70235",23.8750007003546,23.875,0
"70236",5.75000001117587,5.75,0
"70237",26.5000002924353,26.5,0
"70238",4.49999999254942,4.5,-0
"70239",1.18749998509884,1.1875,-0
"70240",0.812499970197678,0.8125,-0
"70241",5.56249991059303,5.5625,-0
"70242",2.56249997764826,2.5625,-0
"70243",3.75000005587935,3.75,0
"70244",7.24999996600673,7.25,-0
"70245",7.99999986775219,8,-0
"70246",9.93749964982271,9.9375,-0
"70247",3.62499998882413,3.625,-0
"70248",3.87499993667006,3.875,-0
"70249",10.2499996311963,10.25,-0
"70875",10.687499679625,10.6875,-0
"70876",4.18750006938353,4.1875,0
"70877",14.8749999701977,14.875,-0
"70878",25.7499998435378,25.75,-0
"70879",4.87500005401671,4.875,0
"70880",10.12500008801,10.125,0
"70881",22.1249997615814,22.125,-0
"70882",13.1249994621612,13.125,-0
"70883",14.1249997541308,14.125,-0
"70884",7.62499982956797,7.625,-0
"70885",17.0625006663613,17.0625,0
"70886",12.4375000596046,12.4375,0
"70887",20.7500006072223,20.75,0
"70888",37.8125004470348,37.8125,0
"70889",5.74999996460974,5.75,-0
"70890",5.00000007450581,5,0
"70891",5.56250018998981,5.5625,0
"70892",0.87500000372529,0.875,0
"70893",9.50000016018748,9.5,0
"70894",12.2500005178154,12.25,0
"70895",16.6875001043081,16.6875,0
"70896",8.68750009685755,8.6875,0
"70897",12.9374999552965,12.9375,-0
"70898",4.31249998509884,4.3125,-0
"70899",10.5624999850988,10.5625,-0
"71525",37.8749990602955,37.875,-0
"71526",17.0000001788139,17,0
"71527",29.9999993294477,30,-0
"71528",15.5624995008111,15.5625,-0
"71529",7.50000011175871,7.5,0
"71530",8.87500010430813,8.875,0
"71531",5.12499995529652,5.125,-0
"71532",46.3749993592501,46.375,-0
"71533",10.3124999906868,10.3125,-0
"71534",0.187499995809048,0.1875,-0
"71535",4.68750009313226,4.6875,0
"71536",1.43750002607703,1.4375,0
"71537",20.0624996214174,20.0625,-0
"71538",7.06249997019768,7.0625,-0
"71539",21.0625000298023,21.0625,0
"71540",15.7499998807907,15.75,-0
"71541",0.68749999627471,0.6875,-0
"71542",5.56249991059303,5.5625,-0
"71543",7.31250001117587,7.3125,0
"71544",3.50000001490116,3.5,0
"71545",6.62500001490116,6.625,0
"71546",5.56249995715916,5.5625,-0
"71547",7.99999986775219,8,-0
"71548",6.49999994784594,6.5,-0
"71549",11.6874996572733,11.6875,-0
"71550",21.6250002384186,21.625,0
"71551",21.9374991953373,21.9375,-0
"71552",360.000002384186,78.25,281.75
"71553",219.437502324581,126.6875,92.75
"71554",21.8124995008111,21.8125,-0
"71555",11.3124998752028,11.3125,-0
"71556",19.5624997839332,19.5625,-0
"71557",10.1250003557652,10.125,0
"71558",10.0624999031425,10.0625,-0
"72176",17.5625000149012,17.5625,0
