new2kid,urban_ha,farm_ha,wood_ha,sng_ha,water_ha
"36204",0,0,0,391.6875,8.3125
"36205",0,0,0,395.0625,4.9375
"36206",0,0,0,370.5,29.5
"36207",0,0,0,400,0
"36208",0,0,0,387,13
"36209",0,0,0,366.5,33.5
"36210",0,0,0,392.4375,7.5625
"36211",0,0,0,392.625,7.375
"36212",0,0,0,396.9375,3.0625
"36213",0,0,0,358.5625,41.4375
"36214",0,0,0,374.625,25.375
"36215",0,0,0,390.5625,9.4375
"36776",0,0,0,210.6875,189.3125
"36846",0,0,0,344.9375,55.0625
"36847",0,0,0,383.4375,16.5625
"36848",0,0,0,384.8125,15.1875
"36849",0,0,0,387.375,12.625
"36851",0,1.5,0,277.9375,120.5625
"36852",0,0,0,396.1875,3.8125
"36853",0,0,0,393.875,6.125
"36854",0,0,0,399.875,0.125
"36855",0,0,0.625,391.9375,7.4375
"36856",0,0,1.0625,389.5625,9.375
"36857",0,0,0,400,0
"36858",0,0,0,400,0
"36859",0,0,0,390.0625,9.9375
"36860",0,0,0,381.0625,18.9375
"36861",0,0,0,371.125,28.875
"36862",0,0,0,325,75
"36863",0,0,0,299.125,100.875
"36864",0,0,0,318.5625,81.4375
"37426",0,122.625,0,97.5625,179.8125
"37427",0,104.6875,0,167.75,127.5625
"37473",0,0.8125,7.875,249.8125,141.5
"37474",0.87500000372529,38.375,0,345.5625,15.1875
"37496",0,0,0,339.875,60.125
"37497",0,0,0,386.25,13.75
"37498",0,1.4375,0,262.5,136.0625
"37499",5.18749989569187,0.1875,0,344.4375,50.1875
"37500",15.4375001788139,3.25,0,354.8125,26.5
"37501",0,0,0,395.6875,4.3125
"37502",0,0,0,386.125,13.875
"37503",0,0,0,399.125,0.875
"37504",0,0,0.75,394.75,4.5
"37505",0,0,2.0625,393.75,4.1875
"37506",0,0,0,342.8125,57.1875
"37507",0,0,0,271,129
"37508",0,0,0,332.4375,67.5625
"37509",0,0,0,392.5,7.5
"37510",0,0,0,388.375,11.625
"37511",0,0,0,399,1
"37512",0,0,0,395,5
"37513",0,0,0,390,10
"37514",0,0,0,365.25,34.75
"37515",0,0,0,376.0625,23.9375
"38026",0.249999994412065,2.125,54.6875,283.625,59.3125
"38077",0,220.6875,0,177.4375,1.875
"38078",0,53.4375,0,257.4375,89.125
"38120",2.56249997764826,0,0.1875,196.3125,200.9375
"38121",0,2.5625,1.0625,395.625,0.75
"38122",2.81249992549419,13.6875,6.0625,375.0625,2.375
"38123",0,0,2.6875,396.875,0.4375
"38124",0,41,5.0625,349.0625,4.875
"38125",0,52.8125,2.25,281.1875,63.75
"38126",0,0,0,400,0
"38127",6.43749982118607,12.75,17.5625,359.0625,4.1875
"38146",0,5.9375,0,322.875,71.1875
"38147",0,2.3125,0,260.4375,137.25
"38150",3.24999988079071,0.125,0,396,0.625
"38151",0,0,0,399.3125,0.6875
"38152",0,0,0,394.875,5.125
"38153",0,0,0,400,0
"38154",0,0,6.8125,389.75,3.4375
"38155",0,0,0,400,0
"38156",0,0,0,399.9375,0.0625
"38157",0,2.0625,0,369.75,28.1875
"38158",0,0,0,246.1875,153.8125
"38159",0,0,0,293.8125,106.1875
"38160",0,0,0,302.875,97.125
"38161",0,0,0,382.25,17.75
"38162",0,0,0,373.1875,26.8125
"38163",0,0,0,383.25,16.75
"38164",0,0,0,371.25,28.75
"38165",0,0,0,380.125,19.875
"38166",0,0,0,352.75,47.25
"38676",2.81249992549419,9,175.3125,169.125,43.75
"38677",0,3.4375,110.625,285.625,0.3125
"38678",0,17.75,2.5,374.9375,4.8125
"38679",0,10.8125,0,264,125.1875
"38727",0,97.25,0,296.875,5.875
"38728",0,0,0,389.0625,10.9375
"38729",0,6.1875,0,353.75,40.0625
"38770",0,0,0,380.0625,19.9375
"38771",0,0,0.875,396.625,2.5
"38772",0,0,0,400,0
"38773",0,9.8125,0,390.1875,0
"38774",0,81.5,6.1875,312.3125,0
"38775",0,11.6875,14.8125,373.5,0
"38776",2.24999996135011,70.4375,1.3125,233.25,92.75
"38799",0,0,0,268.9375,131.0625
"38800",0,0,0,365.1875,34.8125
"38801",0,0,0,369.9375,30.0625
"38802",0,0,0,386.6875,13.3125
"38803",0,0,0,397.1875,2.8125
"38804",0,0,0,399.25,0.75
"38805",0,0,0,283.4375,116.5625
"38806",0,0,3,397,0
"38807",0,0,54.625,345.375,0
"38808",0,0,0,400,0
"38809",0,0,0,314.1875,85.8125
"38810",0,0,0,230.9375,169.0625
"38811",0,0,0,364.1875,35.8125
"38812",0,0,0,364.3125,35.6875
"38813",0,0,0,343.875,56.125
"38814",0,0,0,364.25,35.75
"38815",0,0,0,388.5,11.5
"38819",0,17.75,0,269.5625,112.6875
"38820",0,0,0,362,38
"38821",0,41.5,0,267.625,90.875
"39327",0,15.125,240.9375,143.875,0.0625
"39328",0,48.9375,147.5625,203.5,0
"39329",0,8.1875,168.125,222.4375,1.25
"39330",0,32.3125,23.3125,326.375,18
"39331",0,123.625,28.8125,136.9375,110.625
"39332",0,97.4375,5.25,297.3125,0
"39333",0,108.3125,0,142.3125,149.375
"39334",0,41,18.3125,139.6875,201
"39377",0,0,0,257.1875,142.8125
"39378",0,5.125,0,380.125,14.75
"39379",0,56,0,330.6875,13.3125
"39380",0,47.0625,0,228.8125,124.125
"39419",3.18750012665987,0,11.1875,238.5,147.125
"39420",0,0,11.6875,388.3125,0
"39421",0,0,0.75,399.25,0
"39422",0,0,0,400,0
"39423",0,0,0,400,0
"39424",0,29.25,22.9375,271.5,76.3125
"39449",0,9.8125,0,370.875,19.3125
"39450",0,0,0,359.75,40.25
"39451",0,0,0,389.6875,10.3125
"39452",0,0,0,318.8125,81.1875
"39456",0,0,52.25,241.5,106.25
"39457",0,0,175.5625,216.25,8.1875
"39458",0,0,0,394.3125,5.6875
"39459",0,0,0,398.5,1.5
"39460",0,0,0,256.5625,143.4375
"39461",0,0,0,272.375,127.625
"39462",0,0,0,314.8125,85.1875
"39463",0,0,0,335.6875,64.3125
"39464",0,1.0625,0,351.8125,47.125
"39465",0,17.0625,0,271.3125,111.625
"39468",0,0,0,342.75,57.25
"39469",0,1.125,0,366.875,32
"39470",0,0,0,360.6875,39.3125
"39471",0,38.4375,0,346.5625,15
"39472",0,12.125,0,261,126.875
"39978",0,59.125,19.25,314.9375,6.6875
"39979",0,23.4375,153.25,218.75,4.5625
"39980",0,8.5625,43.75,347.6875,0
"39981",0,25.9375,115,259.0625,0
"39982",0,9.9375,16.1875,372.5625,1.3125
"39983",0,81.125,0,318.875,0
"39984",0,84.1875,17.4375,298.375,0
"39985",0,28.875,23.875,233.875,113.375
"40029",0,3.1875,0,386.0625,10.75
"40030",0,3,0,387.6875,9.3125
"40069",1.62499994039536,0,0,393.5,4.875
"40070",0,0,50.5625,348.4375,1
"40071",0,0,27.1875,372.8125,0
"40072",0,0,0,400,0
"40073",0,7.75,0.9375,381.8125,9.5
"40076",0,65.1875,13.25,155,166.5625
"40080",5.43750002980232,102.9375,11.25,185.125,95.25
"40081",4.81249988079071,5.75,12.1875,240.6875,136.5625
"40099",0,0,0,274.75,125.25
"40102",0,0,0,219,181
"40103",0,0,0,374.375,25.625
"40104",0,0,0,400,0
"40105",0,0,0,394.5625,5.4375
"40106",0,0,0,343.6875,56.3125
"40107",0,0,14.6875,302.4375,82.875
"40108",0,53.6875,0,325.5,20.8125
"40109",0,3.5,0,395.625,0.875
"40110",0,0,0,364.3125,35.6875
"40111",0,0,0,312.625,87.375
"40112",0,0,0,328.8125,71.1875
"40113",0,0,0,342.4375,57.5625
"40114",0,0.5625,0,381.9375,17.5
"40115",0,7.5,0,275.875,116.625
"40116",0,8.0625,0,358,33.9375
"40117",0,13.0625,0,361.375,25.5625
"40118",0,0,0,377.3125,22.6875
"40119",0,0,0,318.5,81.5
"40120",0,0,0,395.9375,4.0625
"40121",0,0,0,395.4375,4.5625
"40122",0,18.25,0,360.875,20.875
"40629",0,100.625,40.3125,186.5,72.5625
"40630",0,58.875,54.625,283.8125,2.6875
"40631",0,30.8125,24.8125,344.375,0
"40632",0,42.6875,0,357.3125,0
"40633",0,15.625,0,384.375,0
"40634",0,25.375,5.5625,368.5,0.5625
"40635",0,5.125,10.9375,299.8125,84.125
"40679",0,5.6875,0,243.25,151.0625
"40680",0,0,0,373.375,26.625
"40681",0,37.0625,0,340.125,22.8125
"40719",0,0,13.6875,297.75,88.5625
"40720",0,0,95.4375,205.6875,98.875
"40721",0,31.75,75,250.3125,42.9375
"40722",0,4.6875,0,395.3125,0
"40723",2.1874999627471,41.75,3.9375,272.125,80
"40724",0.312500004656613,84.25,109.5,117.0625,88.875
"40725",0,38,102.1875,252.375,7.4375
"40726",0,1.8125,66.25,331.9375,0
"40727",0,7.75,90,176.9375,125.3125
"40729",2.37499997019768,93.25,6.1875,211.5625,86.625
"40730",0,18.5,35,346.5,0
"40731",0,2.9375,21.5625,372.4375,3.0625
"40732",26.9375000149012,16.3125,6.5,287.1875,63.0625
"40751",0,0,0,375.4375,24.5625
"40752",0,0,0,356.6875,43.3125
"40753",0,0,0,383.125,16.875
"40754",0,0,0,400,0
"40755",0,0,0,397.6875,2.3125
"40756",0,0,0,399.25,0.75
"40757",0,3.4375,0,323.9375,72.625
"40758",0,54.0625,0,260.875,85.0625
"40759",0,7,0,350.6875,42.3125
"40760",0,4.8125,0,361.5,33.6875
"40761",0,0,0,318.375,81.625
"40762",0,0,0,322.75,77.25
"40763",0,0,0,347.6875,52.3125
"40764",0,0,0,365.1875,34.8125
"40765",0,0,20.6875,363,16.3125
"40766",0,0,80.5,286.625,32.875
"40767",0,0,0,350.0625,49.9375
"40768",0,0,0,355.5,44.5
"40769",0,0,1.6875,341.5,56.8125
"40770",0,0,0,372,28
"40771",0,0,0,376,24
"40772",0,29.875,0,363.0625,7.0625
"40773",0,225.125,1.75,92.125,81
"41281",0,65.875,0.6875,238.1875,95.25
"41282",0,0,0,400,0
"41283",0,73.125,2.9375,323.9375,0
"41284",0,42.625,11.1875,341.0625,5.125
"41285",0,2.9375,3.5,372.5625,21
"41286",0,9.5625,0,239.5,150.9375
"41331",0,8.0625,0,232.5625,159.375
"41372",0,40.1875,0.5625,334.0625,25.1875
"41373",2.12500002235174,1.4375,0,396.4375,0
