"","new2kid","sr_100_2000","sr_100_2031"
"1173",47212,26,26
"1174",47213,27,27
"1175",47214,26,26
"1176",47215,23,23
"1177",47216,24,24
"1178",47217,24,24
"1179",47218,23,23
"1180",47219,21,21
"1181",47220,26,26
"1182",47221,28,28
"1183",47222,28,28
"1184",47223,20,20
"1185",47224,17,17
"1186",47225,23,23
"1187",47226,25,25
"1188",47227,27,27
"1189",47228,30,30
"1190",47229,29,29
"1191",47230,27,27
"1192",47231,27,27
"1193",47232,26,26
"1194",47233,24,24
"1195",47234,30,30
"1196",47235,0,0
"1197",47236,0,0
"1198",47265,0,0
"1199",47266,0,0
"1200",47268,0,0
"1201",47269,0,0
"1202",47270,25,25
"1203",47271,26,26
"1204",47272,27,27
"1205",47273,27,27
"1206",47274,28,28
"1207",47275,28,28
"1208",47276,28,28
"1209",47277,28,28
"1210",47278,27,27
"1211",47279,0,0
"1212",47463,0,0
"1213",47465,0,0
"1214",47466,26,26
"1215",47467,28,28
"1216",47468,28,28
"1217",47469,0,0
"1218",47775,0,0
"1219",47782,0,0
"1220",47783,0,0
"1221",47784,27,27
"1222",47785,27,27
"1223",47786,0,0
"1224",47787,0,0
"1225",47788,0,0
"1226",47810,0,0
"1227",47811,0,0
"1228",47814,0,0
"1229",47815,27,27
"1230",47816,0,0
"1231",47817,0,0
"1232",47820,0,0
"1233",47821,26,26
"1234",47822,25,25
"1235",47823,25,25
"1236",47824,26,26
"1237",47825,24,24
"1238",47826,23,23
"1239",47827,19,19
"1240",47828,0,0
"1241",47832,0,0
"1242",47833,29,29
"1243",47834,0,0
"1244",47835,0,0
"1245",47858,0,0
"1246",47859,0,0
"1247",47860,0,0
"1248",47861,25,25
"1249",47862,25,25
"1250",47863,24,24
"1251",47864,24,24
"1252",47865,25,25
"1253",47866,21,21
"1254",47867,19,19
"1255",47868,21,21
"1256",47869,22,22
"1257",47870,0,0
"1258",47871,0,0
"1259",47872,0,0
"1260",47873,27,27
"1261",47874,25,25
"1262",47875,26,26
"1263",47876,26,26
"1264",47877,29,29
"1265",47878,37,37
"1266",47879,36,36
"1267",47880,25,25
"1268",47881,25,25
"1269",47882,25,25
"1270",47883,0,0
"1271",47884,0,0
"1272",47885,0,0
"1273",47919,0,0
"1274",47920,0,0
"1275",47921,28,28
"1276",47922,29,29
"1277",47923,26,26
"1278",47924,27,27
"1279",47925,27,27
"1280",47926,26,26
"1281",47927,26,26
"1282",47928,28,28
"1283",47929,0,0
