new2kid,rec,rec_ha
182789,4525.39922999635,12.5075794910827
182790,117291.531829623,332.85996971869
182791,9769.68009507844,26.7525004482722
182792,13912.9616064003,38.8630212469281
182793,25249.2888870127,67.6131494730851
182794,112980.509155982,306.232068695589
182795,2569.89821187294,6.4804359662125
182796,131160.090147463,334.006235103362
182797,44722.5776075569,132.16868151476
182798,77689.5844296598,257.997789720747
182799,20381.0180818243,70.6141813142463
182800,0,0
182801,144575.71592878,513.47636938499
182802,0,0
182803,0,0
182804,0,0
182805,8137.64512113636,38.2948005700535
182806,29772.9920865398,97.4167430234431
182807,0,0
182808,30762.0580770197,154.97258477088
182809,6802.1061949563,1360.42123899126
182810,0,0
182811,105944.064817868,550.180005498825
182812,28079.0910225533,79.6287586602007
182813,103112.024742332,282.353614580595
182814,31463.1528357921,263.014861741209
183351,18626.4536460174,142.54188124542
183352,35283.7755739824,266.922078319648
183353,9520.68504323292,93.3972323568001
183354,14918.2693192958,58.9363726194403
183355,31816.3326147661,132.052196159403
183356,45381.7669185279,163.944036925089
183357,6502.41755647316,21.4335972195242
183358,0,0
183359,0,0
183360,-184212.58019607,-2823.18130568689
183361,-131241.296110971,-763.307934252705
183362,-57950.2607843631,-383.300481979919
183363,-5303.44443261178,-23.0084357163201
183364,-2891.82899266883,-12.9027506644454
183365,-70550.6776326206,-378.160984788322
183366,-101617.250494895,-642.892642785374
183367,-32088.9056693946,-183.824684443454
183368,0,0
183369,0,0
183370,-34789.5420838353,-194.626808860617
183371,-69663.2480808482,-550.697613287337
183372,-53335.4271587398,-213.555263898858
183373,572834.250623303,1849.71675685155
183374,67085.2927012654,203.481425674901
183375,50562.7097415085,176.63828730658
183376,44087.8905497896,180.042432056313
183377,-254346.137994934,-2557.84799600286
183378,-316310.718744212,-3023.2804658945
183379,-205669.086558786,-1171.06953200733
183380,-153514.878812088,-1053.72682025395
183381,-225988.811902604,-1353.22641857847
183382,-24435.2350456805,-167.007102573775
183383,-7392.96169889866,-41.8568249053003
183384,88298.9844287202,361.317487675864
183385,17155.5108516711,245.51714993447
183386,0,0
183388,-23153.738793793,-246.152573939288
183389,0,0
183390,27629.3416214731,97.415043178398
183391,161264.322548474,480.221250064876
183392,47745.1826646291,131.168084243486
183393,0,0
183394,173349.94676497,518.914636689956
183395,212575.860592659,649.830678158683
183396,178521.85745469,576.34175126615
183397,199913.041250432,622.782059970192
183398,427631.305846441,1135.80692123889
183399,224221.957575313,670.06935397927
183400,104477.348741243,376.57969781395
183401,21268.5203276802,74.2680762206206
183402,65498.071333436,198.667105668491
183403,222815.455091697,585.489704890029
183404,65164.9444224018,191.415266683719
183405,15123.1254847774,42.3616960357911
183406,30219.3804738261,82.6512970224304
183407,122793.944882882,329.758831508244
183408,50847.5706591653,130.024137210698
183409,216409.025774234,612.18960615059
183410,378198.39969963,1032.44729043444
183411,216803.843543369,627.167057486939
183412,222738.900463149,717.644463836161
183413,160149.982974854,430.800223200684
183414,33645.0384735947,90.0804242934262
183415,66871.5607033173,184.155760972991
183416,49115.5069429724,131.23715950026
183417,87642.6756252697,236.792098953785
183418,78758.4622225272,218.356475632517
183419,24729.8845125902,81.583124165246
183420,144837.03323414,378.535206100333
183421,188791.19365348,476.82063409616
183422,57101.0657765566,197.538787977054
183423,118465.48539292,466.514248849452
183424,127565.731717687,407.476818027859
183425,0,0
183426,10014.1211597272,32.9479564460765
183427,39684.8234960193,122.98219592302
