new2kid,net_es,net_es_ha
32222,-1285223.32231823,-7945.73924153463
32223,-2174497.06200458,-8106.23322275705
32294,-12842.0617926261,-2893.98575608475
32295,-33198.8627572169,-3106.32633985655
32312,-74753.3086384841,-2539.39052699734
32313,-35046.1799630545,-2620.27513742463
32872,-1147208.62880212,-5763.05747592903
32873,-1228043.04932456,-5675.53113494888
32943,-8929.18769061759,-3571.67507624704
32944,0,0
32945,0,0
32946,-200885.030175458,-3987.79216229197
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,-100841.099323057,-4408.35406876751
32966,-238.877649678036,-3822.04239484858
33522,-590452.119961799,-5718.66460011428
33523,-595222.412681878,-5889.64663136057
33592,-9249.55891122066,-2551.60245826777
33593,-45660.1691856892,-2736.18991374917
33594,0,0
33595,0,0
33596,-6274.21879959995,-3137.10939979998
33604,0,0
33605,0,0
33606,0,0
33607,0,0
33608,0,0
33610,-357.388793209144,-1906.0735637821
33611,0,0
33612,0,0
33613,0,0
33614,0,0
33615,0,0
33617,0,0
34241,-60634.2871922872,-3804.50429441802
34242,-19040.3837761623,-2720.05482516604
34243,0,0
34244,0,0
34245,0,0
34246,0,0
34247,-7128.71362456646,-3679.33606429237
34248,-20752.1962680123,-2964.5994668589
34254,0,0
34255,0,0
34256,0,0
34257,0,0
34258,0,0
34259,0,0
34260,-3022.11874795023,-2102.34347683494
34261,0,0
34262,0,0
34263,0,0
34264,0,0
34265,0,0
34266,-103564.284975642,-4071.32324228567
34267,-145194.344178225,-3957.59711559047
34268,-17786.9740518543,-4065.59406899526
34892,-10618.029683567,-3950.89476597842
34893,0,0
34894,0,0
34895,0,0
34896,0,0
34897,0,0
34898,-41403.0147537314,-2618.37247454428
34903,0,0
34904,0,0
34905,0,0
34906,0,0
34907,0,0
34909,0,0
34910,0,0
34911,0,0
34912,0,0
34913,0,0
34914,0,0
34915,0,0
34916,0,0
34917,-10339.5935510119,-3676.29992924867
34918,0,0
35544,0,0
35545,0,0
35546,0,0
35547,0,0
35548,-5176.88033725492,-2761.00284653596
35549,0,0
35550,0,0
35553,0,0
35554,0,0
35555,0,0
35556,0,0
35557,0,0
35558,0,0
35559,0,0
35560,0,0
35561,0,0
35562,0,0
35563,0,0
35564,0,0
35565,0,0
35566,0,0
35567,-55989.6918865241,-3393.31465978934
36195,0,0
36196,0,0
36197,0,0
36198,0,0
36199,0,0
36202,0,0
36203,0,0
36204,0,0
36205,0,0
36206,0,0
36207,0,0
36208,0,0
36209,0,0
36210,0,0
36211,0,0
36212,0,0
36213,0,0
36214,0,0
36215,0,0
36776,0,0
36846,0,0
36847,0,0
36848,0,0
36849,0,0
36851,-3069.69989199835,-2046.46659466557
36852,0,0
36853,0,0
36854,0,0
36855,0,0
36856,0,0
36857,0,0
36858,0,0
36859,0,0
36860,0,0
36861,0,0
36862,0,0
36863,0,0
36864,0,0
37426,-636138.870767623,-5187.67682583179
