new2kid,ghg,rec,flooding,totn,totp,hectares_chg
81687,0,0,0,0,0,0
81688,-7222.34761808713,0,0,-441.882507861476,-64.882760153805,2.1875
81689,-4688.8787593367,0,0,-474.676507222478,-58.8758495482146,1.375
81690,0,0,0,0,0,0
81691,0,0,0,0,0,0
81692,0,0,0,0,0,0
81693,0,0,0,0,0,0
81694,0,0,0,0,0,0
81695,5895.02135096055,0,4.08910117435105,0,0,8.9375
81696,112111.459787004,0,20.4498012328096,0,0,43.5
81697,0,0,0,0,0,0
81698,0,0,0,0,0,0
81699,486174.280167612,0,2.23040350989173,0,0,105.5625
81700,172665.991651494,0,6.74495667026176,0,0,52.625
81701,3956.63013263323,0,5.455498000148,430.07638410979,103.569652080196,14.4375
81702,0,0,0,0,0,0
81703,0,0,0,0,0,0
81704,0,0,0,0,0,0
81705,0,0,0,0,0,0
81706,3314.92206262597,0,0,349.396394404621,69.1066831578833,1.0625
81707,38476.0526140265,0,0,1747.24900943556,371.471372019269,5.3125
81708,11335.4471493022,0,0,988.120099236367,210.529699857949,3.0625
81709,0,0,0,0,0,0
81710,0,0,0,0,0,0
81711,0,0,0,0,0,0
81712,0,0,0,0,0,0
81713,0,0,0,0,0,0
81714,0,0,0,0,0,0
81715,0,0,0,0,0,0
81716,0,0,0,0,0,0
81717,-2844.23416684896,0,0,0.0370826598476229,0.00835234243509561,1.75
81718,0,0,0,0,0,0
81719,0,0,0,0,0,0
81720,0,0,0,0,0,0
81721,0,0,0,0,0,0
81722,0,0,0,0,0,0
81723,0,0,0,0,0,0
81724,0,0,0,0,0,0
81725,0,0,0,0,0,0
81726,0,0,0,0,0,0
81727,0,0,0,0,0,0
81728,0,0,0,0,0,0
81729,0,0,0,0,0,0
81730,0,0,0,0,0,0
81731,0,0,0,0,0,0
81732,0,0,0,0,0,0
81733,0,0,0,0,0,0
81924,4599467.58857115,90635.900357306,0,0,0,237.875
81925,5471124.74875916,149356.193246332,0,0,0,276.6875
81926,1432026.98784443,4210.11600630009,0,0,0,67.3125
81927,5559728.81362618,0,0,0,0,263.9375
81928,475704.133348928,-33771.7865840661,0,0,0,22.5
81929,1485636.15155111,275194.226319152,0,0,0,70
81930,4231483.38389354,-269757.526810251,0,0,0,196.25
81931,4568427.51715445,-159645.525599411,174.809431248494,286.091848658475,73.9865890542915,210.0625
81932,4320937.81113769,-280413.586036053,3810.00945770094,7475.95012741364,1917.661013594,204.8125
81933,5340476.8713567,-41249.7215562565,4420.03513595378,9492.61426358922,2428.78900232107,236.0625
81934,6609715.4079433,0,53307.4136071114,2910.20086169869,744.840277663504,291.125
81935,5137199.30754097,3057.9032795262,51885.4839368486,0,0,247.625
81936,3240668.33122549,-38926.8649007902,0,0,0,171.0625
81937,1917149.65979743,25768.9100439704,0,0,0,132.625
81938,2140162.99258239,-30879.8517522123,0,0,0,159.625
81939,2557087.17553802,-41294.8693901588,9242173.51121694,0,0,172.5
81940,3187216.4718124,-88436.8588178037,11807500.5951788,0,0,180.875
81941,751556.096715511,-20618.3073648665,3542880.37215021,71.1482273570034,39.6903394244453,52.875
81942,1606402.87525221,-1297.66718286628,0,914.106536951091,405.094508269617,106.4375
81943,3593763.28165249,-228365.604415817,18461.4666865377,3331.88279100476,1096.90926872329,217.1875
81944,5586183.57318335,81825.1853827168,34196.9647302072,5045.07322238465,1574.4348162693,282.9375
81945,6359874.11098404,-171119.087404002,41290.3522214061,5439.899755182,1777.51045410299,283.125
81946,6889560.35068645,670.28643749729,30980.0165801162,5615.84410207903,1916.88408148178,273.0625
81947,6682661.51000433,-29.1874935013717,123660.02519109,478.798902179434,172.411152634562,277.625
81948,7333601.60791047,0,157636.030551653,0,0,292.5
81949,7637847.24949704,0,158008.374975975,0,0,322.1875
81950,6465425.13379023,0,107857.935871903,0,0,270.625
81951,6334363.46626067,17483.5629265409,0,0,0,282.25
81952,5674135.90157636,37473.559140984,0,0,0,248.5625
81953,6576822.74701345,4607.16022860555,0,0,0,290
81954,5050815.98957918,20668.278617662,0,0,0,220.6875
81955,5677300.30514477,0,0,0,0,245.375
81956,6766568.87252053,0,2181.12809726803,0,0,303.875
81957,5462230.51861712,2656.91792566886,12.4327532330165,0,0,262.0625
81958,5810968.95845075,0,3706.86233460431,0,0,275.375
81959,7852506.22418783,0,10916.7977500601,0,0,333.6875
81960,7815363.14827299,0,18364.2064183432,0,0,321.75
81961,7015062.32070944,0,5478.5536323907,0,0,296.1875
81962,7285393.41724738,0,14932.5341078093,0,0,326.125
81963,7563739.89247805,0,15779.8956332666,-1.21187528505024,-0.201779723837816,336.4375
81964,7622224.91132451,0,3429.49080802625,-17.4184501905084,-2.90265546183583,355.75
81965,5129565.81628869,0,0,0,0,240.9375
81966,375305.833442783,-935918.635335268,0,0,0,17
81967,6465580.86530739,-578811.021717999,0,0,0,280.125
81968,7348274.15152525,32529.1396181729,0,0,0,339.5625
81969,8099947.93939957,76543.1078299303,2179.68473636817,0,0,351.25
81970,7721081.95997786,30780.0098760237,12082.5260664688,0,0,331.5625
81971,7891329.96534147,0,21126.428837397,-3.05186781684248,-0.360660783964761,346.875
81972,7084569.71598296,0,712.422346438023,-2693.99469727147,-314.977338352777,320.0625
81973,2268299.65951061,-268470.787763236,0,-1027.07644684019,-122.425774471821,109.5
81994,4247148.20287003,19851.9845124442,0,0,0,191.125
81995,4772866.13025223,4499.90590912525,0,0,0,219.5
81996,4977424.98664952,2350.66258304864,0,0,0,221.0625
