new2kid,sr_chg_perc,sr_chg_ha
51102,0,0
51109,0,0
51111,0,0
51112,7,Inf
51113,0,0
51117,0,0
51118,0,0
51119,0,0
51120,0,0
51121,0,0
51122,0,0
51123,0,0
51364,0,0
51365,10,0.0320064012802561
51366,12,0.0429338103756708
51367,12,0.0396366639141206
51368,12,0.0376396784944129
51369,0,0
51370,0,0
51371,0,0
51654,0,0
51656,0,0
51688,0,0
51689,0,0
51690,0,0
51692,0,0
51693,12,Inf
51694,11,Inf
51695,0,0
51696,0,0
51712,0,0
51713,5,Inf
51714,5,Inf
51715,12,Inf
51716,7,0.234800838574423
51717,5,Inf
51718,5,Inf
51719,9,Inf
51720,2,0.216216216216216
51721,0,0
51724,0,0
51725,0,0
51726,0,0
51727,5,Inf
51728,0,0
51731,0,0
51732,9,Inf
51733,9,Inf
51734,0,0
51735,0,0
51750,0,0
51751,0,0
51752,0,0
51753,0,0
51754,0,0
51755,0,0
51758,0,0
51759,0,0
51760,0,0
51761,0,0
51762,0,0
51763,0,0
51768,0,0
51769,0,0
51773,0,0
52013,0,0
52014,0,0
52015,13,0.0452665941240479
52016,11,0.0452907874420998
52017,14,0.048823016564952
52018,17,0.0552172147787251
52019,15,0.0483870967741935
52020,12,0.0401002506265664
52021,0,0
52303,0,0
52304,0,0
52305,0,0
52306,0,0
52307,0,0
52308,0,0
52341,0,0
52342,0,0
52343,0,0
52344,8,Inf
52345,7,Inf
52346,0,0
52360,0,0
52362,0,0
52363,9,Inf
52364,8,Inf
52365,10,Inf
52366,9,2.05714285714286
52367,3,0.271186440677966
