new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"63079",0.54890625,0.05203125,0.38171875,0.01734375,0
"63080",0.47171875,0.10328125,0.40734375,0.01765625,0
"63081",0.75421875,0.07390625,0.1575,0.014375,0
"63082",0.7846875,0.13140625,0.0678125,0.01609375,0
"63083",0.63859375,0.28859375,0.04078125,0.03203125,0
"63084",0.68953125,0.188125,0.06328125,0.0590625,0
"63085",0.83984375,0.08984375,0.04203125,0.02828125,0
"63086",0.78359375,0.03875,0.0721875,0.01203125,0.0934375
"63087",0.59203125,0.14328125,0.02875,0.04296875,0.19296875
"63088",0.5614125,0.089375,0.01609375,0.33311875,0
"63089",0.6490625,0.054375,0.02609375,0.2521875,0.01828125
"63720",0.25947925,0.0475,0.1353125,0.01020825,0.5475
"63721",0.721875,0.05828125,0.21109375,0.00875,0
"63722",0.81046875,0.05640625,0.09640625,0.03671875,0
"63723",0.82046875,0.04578125,0.0678125,0.0659375,0
"63724",0.76859375,0.0571875,0.1409375,0.03328125,0
"63725",0.75203125,0.05171875,0.095625,0.100625,0
"63726",0.61359375,0.16671875,0.1396875,0.08,0
"63727",0.350625,0.46875,0.1228125,0.0578125,0
"63728",0.22734375,0.59921875,0.14390625,0.02953125,0
"63729",0.525625,0.10109375,0.2846875,0.08859375,0
"63730",0.7009375,0.14875,0.13390625,0.01640625,0
"63731",0.7809375,0.10328125,0.1028125,0.01296875,0
"63732",0.82671875,0.06984375,0.08859375,0.01484375,0
"63733",0.8646875,0.02796875,0.09265625,0.0146875,0
"63734",0.82296875,0.046875,0.11453125,0.015625,0
"63735",0.80765625,0.05671875,0.0934375,0.0421875,0
"63736",0.713125,0.05953125,0.066875,0.0946875,0.06578125
"63737",0.6615625,0.0503125,0.0046875,0.0653125,0.218125
"63738",0.8659375,0.0578125,0.0025,0.07375,0
"63739",0.82109375,0.0625,0.06390625,0.05,0.0025
"64370",0.58296875,0.0621875,0.106875,0.01453125,0.2334375
"64371",0.82328125,0.10234375,0.049375,0.025,0
"64372",0.8571875,0.06171875,0.05546875,0.025625,0
"64373",0.82171875,0.06203125,0.09109375,0.02515625,0
"64374",0.81421875,0.0659375,0.1025,0.01734375,0
