new2kid,tot_es,tot_es_ha
130881,1011536.04483913,5120.07991817848
130882,20139.7988327321,2956.27904862821
130883,0,0
130884,0,0
130885,0,0
130886,0,0
130887,0,0
130888,0,0
130889,28527.6492278483,1094.58396157891
130890,118225.264278409,2228.03586104341
130891,168595.137459937,2591.27773903631
130892,4788.4573734152,2837.52029475583
130893,394299.977400438,4203.06214254317
130894,1332046.10871473,4661.57868316615
130895,1503078.4194264,4562.55948791022
130896,82026.6985828911,2853.10255940491
130897,11256.7097427456,2401.40579679055
130898,3170.98750301682,2818.65555823717
130899,1352761.1736914,5442.33704430292
130900,549728.610675442,4349.97911513703
130901,28714.8045726974,2552.42707312866
130902,0,0
130903,-4630.02168911747,-2645.7266794957
130904,315995.738087232,3090.4228663788
130905,485052.816735143,3452.33321519675
130906,1454676.57103218,4900.99414944611
130907,1156827.99313363,3864.94984301069
130908,1297300.85326452,5264.21745900541
130909,1567711.34234151,5212.67279249046
130910,1070852.37417329,3731.19294137035
130911,592981.896051498,3438.82116193079
130912,0,0
130913,-413.895168665775,-213.617800142332
130914,0,0
130915,0,0
130916,8321.55257029607,3247.37178603191
130917,1046104.15757031,4309.38890863156
130918,1194710.34374241,5327.58235782567
130919,308574.094241012,2975.99947381351
130920,0,0
130921,0,0
130922,0,0
130923,31316.4662573794,3112.17994021191
130924,193981.040833555,3298.29332061873
130925,954747.179176066,4942.07405796111
130926,675783.627164236,3692.8067058155
130927,668314.67023271,3738.8233299732
130928,1144158.4136906,5000.41808760315
130929,1267398.92402398,5091.23241561581
130930,1780160.9137636,6403.45652432951
130931,1497737.53372565,5101.93665277008
130932,1948838.371954,5485.82229965939
130933,1398828.30065514,5120.39549626307
130934,1728568.32142944,5152.215563128
130935,1515231.89302505,5243.01693088253
130936,1826019.79058615,5190.32021622353
130937,1330168.48103003,4381.8596234286
130938,1359478.76320924,3790.80868095989
130939,1335240.17763527,4990.38515530395
130940,1552968.26817927,4979.4573729195
130941,1543323.56256918,4929.76104158474
130942,1353383.58974041,4934.85356331964
130943,1587621.01417059,4897.23005763359
130944,1401606.626259,4779.56223788236
130945,975250.502108708,3470.64235625875
130946,507330.396202382,3347.33346860674
130947,125926.212461265,3292.18856107881
130948,32671.1350034067,3056.9340029667
130949,61155.2929021287,2421.99179810411
130950,1326057.61294754,4233.22462233851
130951,1002820.69203807,4629.29344276085
130952,1462902.19958361,4381.58652065475
130953,1550706.89781583,4320.26935553505
130954,1672117.91833807,4656.08887807329
130955,1627489.77410936,4941.14542424093
130956,1578189.96127479,4880.37096644697
130957,1394018.82688802,4842.44490451765
130958,1576018.33831153,4957.98140247434
130959,1652918.06911259,5002.21015775172
130960,1602858.81665647,5085.41284913211
130961,1833133.53073496,5573.95220291891
130962,1544081.78030966,5151.23196099971
130963,1197116.05128663,5119.98201673364
130964,1941431.63599634,6075.27895867756
130965,1981105.46141738,5144.89259320954
130966,1852692.53816863,5190.52293088421
130967,1863014.79890094,5193.07261017683
130968,1934599.30522289,5233.06588285944
130969,1652015.61070653,5187.87941530932
130970,2133225.23102591,5633.20666609164
130971,2400512.20334765,6293.32954594442
130972,2478051.60202944,6443.81935274104
130973,1507935.4826266,5378.28081186484
131064,1021594.00832162,5169.35614583996
131065,1898359.56092513,5317.53378410399
131066,1721439.07600337,5260.31803209585
131067,1749452.1722425,5226.14539878267
131068,1836645.4217207,5172.73765346612
131069,886000.03430582,3548.43497125035
131070,-18651.887239922,-157.732661648389
131071,203722.97493706,1236.08896857102
131072,1859099.15151763,5009.36113578343
131073,1892399.02073932,5189.98702979587
131074,1620341.60908239,5177.84333993282
131075,1327580.62237976,5174.49106418594
131076,798564.42460291,2624.69819097094
131077,-621414.79677257,-2292.51439113433
131078,1277999.60527437,3646.21855998394
131079,1683346.56745182,5180.52335733995
131080,1210596.0909774,3793.48559648227
131081,1719650.41351219,4603.38011268045
131082,747895.914369522,4605.97945724109
131344,0,0
131345,0,0
131346,22212.8382638079,4868.51393712022
131347,0,0
131348,960337.414350942,5519.18054224679
131349,1553684.95467669,4663.96984518331
131350,294470.199552413,3334.40943051031
131351,457564.988613064,3592.26683896419
131352,799317.207976493,4428.35018269525
131353,1190375.66113958,5232.42048852563
131354,1272248.01229526,6796.64866758107
131355,1809007.43573873,7314.66088453147
131356,2556361.08512515,7582.82858027482
131357,2697888.46975445,7053.30318890053
131358,2331839.46815345,6519.20780623605
131359,1862730.22028379,6379.21308316366
131360,2449123.32722202,6778.40647168781
131361,1944752.15536439,5927.99194959739
131362,2304122.97235742,6538.83780732863
131363,2572757.19944064,6883.63130285122
131364,2118481.44330215,6241.15229237941
131365,1802568.14871713,6349.86578147822
131366,1823469.75475012,6172.09882342348
131367,1174426.85736006,5857.4905603993
131368,2014834.59416126,5883.80156954534
131369,2021744.97018129,5198.95845755394
131370,2161841.08996139,5886.56525517057
131371,2176436.5650926,6475.0808928006
131372,2659508.2502765,7077.86626820094
131373,1487531.94905673,6334.97634200867
131374,547931.581564971,6325.32850291453
131375,55305.3171582885,4608.77642985738
131376,60825.6235943153,5691.25979240474
131377,780117.766449561,4710.14500497848
131378,2099354.45530256,6014.26436408765
131379,2105968.02346907,6393.83081129128
131380,2402531.43264033,6451.91388423049
131381,2218803.61337353,6754.3488991584
131382,2133140.33331132,6172.94997189749
131383,2188423.03467856,5976.23549647866
