new2kid,tot_es,tot_es_ha
146408,-22453.3445141039,-155.926003570166
146409,-128300.575423327,-5593.47338418126
146410,231755.665659558,1638.57239933495
146411,713380.556817999,2362.18727423178
146412,287890.259498129,938.32621741884
146413,136708.805677148,509.750753445296
146414,119893.030606166,461.237826570906
146415,354367.149571868,1435.41123877213
146416,253861.034693554,1285.3723275623
146417,0,0
146418,-58911.7980442693,-1639.28253440397
146419,24209.1868763464,257.031708292088
146420,61970.2947059018,425.364382240636
146421,39428.3448477728,553.380278565232
146422,23787.6328902482,362.478215470448
146423,422140.06247219,2124.64274924217
146424,37764.3207229198,202.354029325759
146425,-143966.494319405,-794.846069396302
146426,-529857.403394992,-9419.68717146653
146427,-56989.9351865941,-565.656924928974
146428,-635.63044921081,-13.1396475289056
146429,-222461.401912135,-118646.081019806
146430,82072.1720754146,974.873031409212
146431,326328.55052496,1157.96315857814
146432,206170.787558104,885.074814049372
146433,144803.208886727,501.482974499488
146434,161692.313383988,540.212274373352
146435,77889.7378099436,358.732240920869
146436,266089.049636634,753.659796646894
146437,-12224.2009673493,-55.4071431947842
146438,392982.22786866,1092.75558670465
146439,123772.582288496,378.65417143708
146440,140724.936302957,403.657042102423
146441,133518.816117822,527.091200644507
146442,130196.380905411,529.253580916305
146443,71109.6385065317,339.526691877993
146444,108793.06061058,432.684221631098
146445,202084.123574432,661.486492878665
146446,75760.4105449838,512.110755822196
146447,284799.526625636,884.985767726076
146448,239604.598976739,760.800352249959
146449,-134150.090706001,-20249.0702952454
146450,-48722.4143404466,-213.1688430167
146451,89379.8828517005,346.853710440029
146452,178826.736155539,481.121135630017
146453,165286.86975732,530.509426621781
146454,210318.174993339,606.104250701266
146455,104667.243225587,349.619184052066
146456,152908.674551953,450.642555225124
146457,111970.34249621,380.770494223796
146458,116438.535024516,405.620778553373
146459,179980.293355788,604.848605295887
146460,85927.3886810241,400.243929752909
146461,132075.819936808,656.277366145632
146462,250710.739351607,856.033254294861
146463,354220.815480153,980.542049772051
146464,115674.682951812,401.909794940532
146465,126555.333191614,432.021545860591
146466,0,0
146467,239507.580237724,698.527394058255
146468,258421.544001013,1065.65585155057
146469,112540.312519258,481.584545343805
146470,122082.466141018,400.763122334078
146471,-321467.65176824,-1001.06703547914
146472,308865.912874649,880.587064503633
146473,147415.704383366,419.464864762931
146474,141426.991326994,409.340061727914
146475,100030.299637886,388.750178092309
146476,127505.788717681,401.355950894773
146477,133036.971282971,433.345183332153
146478,171911.7855344,541.028435985524
146479,200769.93868328,656.110910729673
146480,145846.355838099,432.858717700355
146481,179517.205850813,493.687743831731
146482,157359.496778526,482.882997402458
146483,147887.882646751,434.245875381045
146484,100922.869109722,334.04342278766
146485,97764.5974640367,347.607457649908
146486,126451.775783693,401.115862914174
146487,136698.039514524,437.959277579571
146488,122523.047678222,347.336775841877
146489,162099.224611957,554.185383288741
146490,24563.2959351404,227.833363881482
146491,-33122.102230309,-247.06453987567
146492,-12196.7805185544,-50.1925124220345
146493,52871.5634577056,210.120470770812
146494,-36594.4120704516,-177.105442567219
146495,11332.1187163314,162.905452953225
146496,6403.33997593835,118.855498393287
146497,14086.8488984125,176.223175446489
146498,2086.03113940814,153.103202892341
146499,44.1971496488586,1.45206002614726
146500,-71543.8115032543,-1406.26656517453
146501,-105001.677716652,-479.049461142532
146502,124931.185076788,373.835545569511
146503,121753.079046397,349.237946350368
146504,168343.247514855,489.280938930595
146505,129960.667549486,342.960647604033
146506,94424.0467540219,347.786544213709
146507,13867.5167461567,348.320234352151
146508,15062.8570590671,193.890231563064
146509,2553.31064396605,198.315389822606
146510,0,0
146511,9254.06598680081,431.675540665832
146512,45278.1431652745,456.778241263803
146513,78106.1736513298,429.892822327836
146514,0,0
146515,137591.753627565,15503.2961833876
146516,49.0660797325265,4.11023030123656
146517,-11173.3168505197,-227.736162317688
146832,1609.08160111845,100.175974619127
146836,6401.39898289155,93.111257932968
146840,-24372.3078883349,-479.651343778947
146841,-1149.96167149918,-471.769469959253
146842,-1905.0338336442,-205.949603637211
146843,-1051.56826504816,-343.36362346677
146844,-1014.63908341329,-477.477215723899
146845,5124.13890629316,55.8108766861737
146846,-22266.3062186867,-279.201331895758
146847,-1685.84846489393,-442.183962149725
146848,-5977.58597424785,-425.071269026446
146849,-14414.0642628468,-423.943066554318
146850,-1773.0228171138,-388.603482068975
146851,-1296.10739707973,-363.814514064287
146938,152754.711629574,489.991055748433
146939,246903.670207312,757.08292896071
146940,245072.159584948,819.639329715544
146941,331609.710873898,1059.24426563924
146942,267469.663903061,778.234951784146
146943,160726.224335958,532.536583836417
146944,134353.251482136,489.112999413828
146945,115151.758392208,457.518690901508
146946,120939.149077271,423.697404483998
146951,-325736.232066594,-1725.18316217113
146952,159844.190956592,584.974166355322
146953,44960.8664001205,374.089216396544
146954,0,0
146955,-9119.88175780755,-51.4883938337759
