new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"38770",0,0,380.0625,0,19.9375
"38771",0,0.875,396.625,0,2.5
"38772",0,0,400,0,0
"38773",9.8125,0,390.1875,0,0
"38774",81.5,6.1875,312.3125,0,0
"38775",11.6875,14.8125,373.5,0,0
"38776",70.4375,1.3125,233.25,2.25,92.75
"38799",0,0,268.9375,0,131.0625
"38800",0,0,365.1875,0,34.8125
"38801",0,0,369.9375,0,30.0625
"38802",0,0,386.6875,0,13.3125
"38803",0,0,397.1875,0,2.8125
"38804",0,0,399.25,0,0.75
"38805",0,0,283.4375,0,116.5625
"38806",0,3,397,0,0
"38807",0,54.625,345.375,0,0
"38808",0,0,400,0,0
"38809",0,0,314.1875,0,85.8125
"38810",0,0,230.9375,0,169.0625
"38811",0,0,364.1875,0,35.8125
"38812",0,0,364.3125,0,35.6875
"38813",0,0,343.875,0,56.125
"38814",0,0,364.25,0,35.75
"38815",0,0,388.5,0,11.5
"38819",17.75,0,269.5625,0,112.6875
"38820",0,0,362,0,38
"38821",41.5,0,267.625,0,90.875
"39327",15.125,240.9375,143.875,0,0.0625
"39328",48.9375,147.5625,203.5,0,0
"39329",8.1875,168.125,222.4375,0,1.25
"39330",32.3125,23.3125,326.375,0,18
"39331",123.625,28.8125,136.9375,0,110.625
"39332",97.4375,5.25,297.3125,0,0
"39333",108.3125,0,142.3125,0,149.375
"39334",41,18.3125,139.6875,0,201
"39377",0,0,257.1875,0,142.8125
"39378",5.125,0,380.125,0,14.75
"39379",56,0,330.6875,0,13.3125
"39380",47.0625,0,228.8125,0,124.125
"39419",0,11.1875,238.5,3.1875,147.125
"39420",0,11.6875,388.3125,0,0
"39421",0,0.75,399.25,0,0
"39422",0,0,400,0,0
"39423",0,0,400,0,0
"39424",29.25,22.9375,271.5,0,76.3125
"39449",9.8125,0,370.875,0,19.3125
"39450",0,0,359.75,0,40.25
"39451",0,0,389.6875,0,10.3125
"39452",0,0,318.8125,0,81.1875
"39456",0,52.25,241.5,0,106.25
"39457",0,175.5625,216.25,0,8.1875
"39458",0,0,394.3125,0,5.6875
"39459",0,0,398.5,0,1.5
"39460",0,0,256.5625,0,143.4375
"39461",0,0,272.375,0,127.625
"39462",0,0,314.8125,0,85.1875
"39463",0,0,335.6875,0,64.3125
"39464",1.0625,0,351.8125,0,47.125
"39465",17.0625,0,271.3125,0,111.625
"39468",0,0,342.75,0,57.25
"39469",1.125,0,366.875,0,32
"39470",0,0,360.6875,0,39.3125
"39471",38.4375,0,346.5625,0,15
"39472",12.125,0,261,0,126.875
"39978",59.125,19.25,314.9375,0,6.6875
"39979",23.4375,153.25,218.75,0,4.5625
"39980",8.5625,43.75,347.6875,0,0
"39981",25.9375,115,259.0625,0,0
"39982",9.9375,16.1875,372.5625,0,1.3125
"39983",81.125,0,318.875,0,0
"39984",84.1875,17.4375,298.375,0,0
"39985",28.875,23.875,233.875,0,113.375
"40029",3.1875,0,386.0625,0,10.75
"40030",3,0,387.6875,0,9.3125
"40069",0,0,393.5,1.625,4.875
"40070",0,50.5625,348.4375,0,1
"40071",0,27.1875,372.8125,0,0
"40072",0,0,400,0,0
"40073",7.75,0.9375,381.8125,0,9.5
"40076",65.1875,13.25,155,0,166.5625
"40080",102.9375,11.25,185.125,5.4375,95.25
"40081",5.75,12.1875,240.6875,4.8125,136.5625
"40099",0,0,274.75,0,125.25
"40102",0,0,219,0,181
"40103",0,0,374.375,0,25.625
"40104",0,0,400,0,0
"40105",0,0,394.5625,0,5.4375
"40106",0,0,343.6875,0,56.3125
"40107",0,14.6875,302.4375,0,82.875
"40108",53.6875,0,325.5,0,20.8125
"40109",3.5,0,395.625,0,0.875
