new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"34241",10,0,0,2132,0,0,0,0,0,1492,0,0,0,84,0,0,245,0,0,0,0
"34242",0,0,0,437,0,0,0,0,55,5553,0,260,0,95,0,0,0,0,0,0,0
"34243",4,0,0,3,0,0,0,0,631,5167,0,518,0,77,0,0,0,0,0,0,0
"34244",44,0,0,812,0,0,0,0,229,3081,652,0,0,1582,0,0,0,0,0,0,0
"34245",0,0,0,0,0,0,0,0,0,5435,13,0,0,952,0,0,0,0,0,0,0
"34246",0,0,0,0,0,0,0,0,0,6381,0,0,0,19,0,0,0,0,0,0,0
"34247",0,0,0,543,0,0,0,0,0,5845,0,0,0,12,0,0,0,0,0,0,0
"34248",87,0,0,2013,0,0,0,0,0,1620,0,0,0,0,0,68,75,140,205,0,0
"34254",0,0,0,307,0,0,0,0,0,5664,0,0,0,239,0,0,97,0,0,0,0
"34255",0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0
"34256",0,0,0,0,0,0,0,0,0,6370,0,0,0,30,0,0,0,0,0,0,0
"34257",0,0,0,0,0,0,0,0,0,5954,0,0,0,396,50,0,0,0,0,0,0
"34258",0,0,0,0,0,0,0,0,0,4616,0,0,0,106,1678,0,0,0,0,0,0
"34259",0,0,0,0,0,0,0,0,0,5965,18,0,0,417,0,0,0,0,0,0,0
"34260",0,0,0,32,0,0,0,0,0,6229,44,0,0,93,2,0,0,0,0,0,0
"34261",0,0,0,0,0,0,0,0,0,6113,0,0,0,287,0,0,0,0,0,0,0
"34262",0,0,0,0,0,0,0,0,0,6397,0,0,0,3,0,0,0,0,0,0,0
"34263",0,0,0,0,0,0,0,0,0,6341,12,0,0,47,0,0,0,0,0,0,0
"34264",0,0,0,0,0,0,0,0,0,6256,12,0,0,132,0,0,0,0,0,0,0
"34265",0,0,0,400,0,0,0,0,0,5521,18,0,0,443,18,0,0,0,0,0,0
"34266",0,0,0,3212,0,0,0,0,0,1021,0,0,0,18,27,316,0,1720,86,0,0
"34267",0,0,0,3002,0,0,0,0,0,3110,0,0,0,67,36,0,0,185,0,0,0
"34268",0,0,0,869,0,0,0,0,0,5136,0,0,0,374,21,0,0,0,0,0,0
"34892",165,0,0,970,0,0,0,0,0,2522,0,0,0,99,0,0,226,0,0,0,0
"34893",27,0,0,1575,0,0,0,0,0,4141,40,0,0,352,0,0,215,0,10,0,0
"34894",0,0,0,0,0,0,0,0,0,5907,0,0,0,493,0,0,0,0,0,0,0
"34895",0,0,0,0,0,0,0,0,0,6297,0,0,0,103,0,0,0,0,0,0,0
"34896",0,0,0,0,0,0,0,0,0,6344,0,0,0,56,0,0,0,0,0,0,0
"34897",0,0,0,0,0,0,0,0,0,6389,0,0,0,11,0,0,0,0,0,0,0
"34898",0,0,0,1457,0,0,0,0,0,2471,0,0,0,0,0,34,69,2015,295,0,0
"34903",0,0,0,807,0,0,0,0,0,4331,0,0,0,78,31,0,38,0,0,0,0
"34904",0,0,0,5,0,0,0,0,0,6113,39,0,0,243,0,0,0,0,0,0,0
"34905",0,0,0,0,0,0,0,0,0,5779,455,0,0,166,0,0,0,0,0,0,0
"34906",0,0,0,0,0,0,0,0,48,6290,11,0,0,51,0,0,0,0,0,0,0
"34907",0,0,0,0,0,0,0,0,0,6163,24,0,0,213,0,0,0,0,0,0,0
"34909",0,0,0,0,0,0,0,0,0,5726,35,0,0,639,0,0,0,0,0,0,0
"34910",0,0,0,0,0,0,0,0,0,5213,170,0,0,1017,0,0,0,0,0,0,0
"34911",0,0,0,0,0,0,0,0,0,6363,11,0,0,26,0,0,0,0,0,0,0
"34912",0,0,0,0,0,0,0,0,0,3386,2601,0,0,413,0,0,0,0,0,0,0
"34913",0,0,0,0,0,0,0,0,0,4782,785,0,0,833,0,0,0,0,0,0,0
"34914",0,0,0,0,0,0,0,0,0,4204,0,0,0,2196,0,0,0,0,0,0,0
