new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"35549",0,0,395.0625,0,4.9375
"35550",0,0,338.5,0,61.5
"35553",9.125,0,389.875,0,1
"35554",0,0,397.25,0,2.75
"35555",0,0,400,0,0
"35556",0,0,398.4375,0,1.5625
"35557",0,0,390.0625,0,9.9375
"35558",0,0,357,0,43
"35559",0,0,317.5,0,82.5
"35560",0,0,355.375,0,44.625
"35561",0,0,392.625,0,7.375
"35562",0,0,380,0,20
"35563",0,0,287.6875,0,112.3125
"35564",0,0,357.1875,0,42.8125
"35565",0,0,381.1875,0,18.8125
"35566",24.375,0,342.1875,2.25,31.1875
"35567",93.6875,0,246.4375,1.875,58
"36195",51.5625,0,269.75,1.8125,76.875
"36196",11,0,365.6875,6.5,16.8125
"36197",0,0,394.5,0,5.5
"36198",0,0,398.25,0,1.75
"36199",0,0,400,0,0
"36202",3.0625,0,333.9375,0,63
"36203",7.5625,0,390.8125,0,1.625
"36204",0,0,389.75,0,10.25
"36205",0,0,400,0,0
"36206",0,0,371.1875,0,28.8125
"36207",0,0,400,0,0
"36208",13.125,0,374.9375,0,11.9375
"36209",0,0,361.5625,0,38.4375
"36210",0,0,392.75,0,7.25
"36211",0,0,394.5,0,5.5
"36212",0,0,396.5625,0,3.4375
"36213",0.125,0,358.5625,0,41.3125
"36214",17.875,0,357.0625,0,25.0625
"36215",47.5,1.1875,342.375,0,8.9375
"36776",192,0,13.1875,0,194.8125
"36846",76.6875,0,274.625,2.125,46.5625
"36847",0,0,385.375,0,14.625
"36848",0,0,385.375,0,14.625
"36849",0,0,389.6875,0,10.3125
"36851",96,0,177.5,7.625,118.875
"36852",19.875,0,378.125,0.5,1.5
"36853",0,0,393.375,0,6.625
"36854",0,0,400,0,0
"36855",0,0,395.9375,0,4.0625
"36856",0,0,392.375,0,7.625
"36857",0,0,400,0,0
"36858",0,0,400,0,0
"36859",0,0,389.5625,0,10.4375
"36860",0,0,371.4375,0,28.5625
"36861",23.125,0,349.75,1.1875,25.9375
"36862",31.8125,0,288.375,7.25,72.5625
"36863",87.5625,0,216.1875,0,96.25
"36864",51,0,260.375,0,88.625
"37426",238.8125,0,0,0,161.1875
"37427",190.3125,0,76,0,133.6875
"37473",46.6875,0,210.8125,0,142.5
"37474",177.1875,0,206.125,0,16.6875
"37496",38.5,0,307.375,0.8125,53.3125
"37497",0.1875,0,376.875,0,22.9375
"37498",33.125,0,226.8125,3.25,136.8125
"37499",71.9375,0,272.75,11.6875,43.625
"37500",41.8125,0,311.25,22.5,24.4375
"37501",0,0,400,0,0
"37502",0.75,0,385.1875,0,14.0625
"37503",0,0,400,0,0
"37504",0,0,395.125,0,4.875
"37505",0,0,399.3125,0,0.6875
"37506",0,0,342.875,0,57.125
"37507",0,0,266.25,0,133.75
"37508",0,0,330.8125,0,69.1875
"37509",0,0,393.6875,0,6.3125
"37510",0,0,389.3125,0,10.6875
"37511",1.1875,0,397.125,0,1.6875
"37512",3.875,0,383,0,13.125
"37513",0.9375,0,393.75,0,5.3125
"37514",0,0,365.6875,0,34.3125
"37515",0,0,378.9375,0,21.0625
"38026",216.8125,7.3125,98.9375,10.375,66.5625
"38077",279.5625,0,118.375,0,2.0625
"38078",206.4375,0.75,81.4375,0,111.375
"38120",0,0,138.25,0,261.75
"38121",32.625,0,364.6875,0,2.6875
"38122",102.25,2.9375,294.8125,0,0
"38123",0,0,400,0,0
"38124",182.0625,21.5625,189.4375,0,6.9375
"38125",140.1875,1.3125,195.875,0,62.625
"38126",0,0,400,0,0
"38127",46.0625,0,351.1875,0,2.75
"38146",74.3125,0,246.4375,0.4375,78.8125
"38147",51.4375,0,202.3125,5.25,141
"38150",37.125,0,361.3125,0.4375,1.125
"38151",0,0,400,0,0
"38152",0,0,395.75,0,4.25
"38153",0,0,400,0,0
"38154",0,0,399.4375,0,0.5625
"38155",0,0,398.875,0,1.125
"38156",0,0,400,0,0
"38157",0,0,369.6875,0,30.3125
"38158",0,0,238.4375,0,161.5625
"38159",0,0,292.625,0,107.375
"38160",0,0,307.5625,0,92.4375
"38161",0,0,381.875,0,18.125
"38162",0,0,371.1875,0,28.8125
"38163",0,0,386,0,14
"38164",0,0,371.3125,0,28.6875
"38165",0,0,379.9375,0,20.0625
"38166",83.5625,0,253.625,3.0625,59.75
"38676",78.8125,191.875,86.6875,0,42.625
"38677",68.125,105.1875,225.75,0,0.9375
"38678",159.125,0,236.875,0.6875,3.3125
"38679",92.25,4.9375,166.75,0,136.0625
"38727",104.4375,0,293.1875,0,2.375
"38728",2.1875,0,397.8125,0,0
"38729",99.6875,0.5625,251.25,0,48.5
"38770",0,0,378.9375,0,21.0625
"38771",0,0,396.875,0,3.125
"38772",0,26.625,373.375,0,0
"38773",30.5,32.4375,337.0625,0,0
"38774",176.75,2.4375,220.8125,0,0
"38775",63.6875,8.5,327.8125,0,0
"38776",173.1875,5.9375,134.5,0,86.375
"38799",54.5625,0,220,0,125.4375
"38800",0,0,364.5625,0,35.4375
"38801",0,0,372.1875,0,27.8125
"38802",8,0,375.4375,2,14.5625
"38803",16.4375,0,381.1875,0,2.375
"38804",0.875,0,399.125,0,0
"38805",66.375,6.75,202.125,0.6875,124.0625
"38806",4.25,0,395.75,0,0
"38807",0,31.4375,368.5625,0,0
"38808",0,0,400,0,0
"38809",0,0,302.875,0,97.125
"38810",0,0,230.6875,0,169.3125
"38811",0,0,369.75,0,30.25
"38812",0,0,361.875,0,38.125
"38813",5.6875,0,341.75,0,52.5625
"38814",10.9375,0,351.4375,0,37.625
"38815",2,0,387,0,11
"38819",125.875,0,172.75,0,101.375
"38820",151.125,0,207.1875,0,41.6875
"38821",159.3125,0,156.8125,0,83.875
"39327",30.9375,260.75,106.9375,0.8125,0.5625
"39328",13.625,120,266.375,0,0
"39329",7.6875,172.6875,216.375,0,3.25
"39330",172.0625,15.75,187.5,0.75,23.9375
"39331",120.375,3.125,93.125,0,183.375
"39332",113.1875,0,261.1875,0.8125,24.8125
"39333",131,0,59.75,0,209.25
"39334",42.75,0,125.125,0,232.125
"39377",1.625,0,281.3125,0,117.0625
"39378",42.8125,1.25,355.9375,0,0
"39379",140.75,0,259.25,0,0
"39380",256.4375,0.625,6,0,136.9375
"39419",0,0,222.9375,0,177.0625
"39420",1.875,0,397.5,0,0.625
"39421",0,0,400,0,0
"39422",0,0,400,0,0
"39423",11.25,4.125,384.625,0,0
"39424",94.125,32.3125,187.875,2.5,83.1875
"39449",90.6875,0,297.875,0,11.4375
"39450",0.375,0,359.0625,0,40.5625
"39451",0,0,387.875,0,12.125
"39452",16.625,0,300.625,0,82.75
"39456",3.0625,21.125,274,0,101.8125
"39457",0,113.5625,276.9375,0,9.5
"39458",0,0,391.75,0,8.25
"39459",0,0,398.75,0,1.25
"39460",0,0,247.625,0,152.375
"39461",0,0,273.8125,0,126.1875
"39462",0,0,316.75,0,83.25
"39463",0,0,330.8125,0,69.1875
"39464",24.5625,0,331.25,0,44.1875
"39465",59.125,0,226.8125,0.5625,113.5
"39468",80.125,0,271.125,0,48.75
"39469",40.9375,0,331.4375,0,27.625
"39470",40.5625,0,321,0.5625,37.875
"39471",270.5,0,105.6875,4,19.8125
"39472",53.6875,0,206.5625,0,139.75
"39978",48.4375,22.1875,325.5,0,3.875
"39979",46.25,142.4375,204.4375,0,6.875
"39980",0,11.3125,388.6875,0,0
"39981",43.1875,7.3125,347.1875,2.3125,0
"39982",20.1875,3.5625,186.125,0,190.125
"39983",102.375,0.5,231.125,0,66
"39984",112.0625,2.875,272.6875,0,12.375
"39985",40.375,1.375,242.6875,0,115.5625
"40029",16.6875,0,378.75,0,4.5625
"40030",70.8125,0,329.1875,0,0
"40069",0,0,392.4375,0,7.5625
"40070",0,48.375,351.625,0,0
"40071",0,9.625,390.375,0,0
"40072",1.5,0,398.5,0,0
"40073",96.25,4,286.25,0,13.5
"40076",154.9375,0.6875,77.125,0,167.25
"40080",259.5,6.25,27.9375,0,106.3125
"40081",18.3125,0,238.1875,0,143.5
"40099",0.125,0,270.5625,0,129.3125
"40102",0,0,225.5,0,174.5
"40103",0,0,376.8125,0,23.1875
"40104",0,0,399.9375,0,0.0625
"40105",0,0,396,0,4
"40106",0,0,337.75,0,62.25
"40107",0,14.875,303.375,0,81.75
"40108",67.625,0,311.9375,0,20.4375
"40109",0.6875,0,398.75,0,0.5625
"40110",0,0,362.25,0,37.75
"40111",0,0,315.25,0,84.75
"40112",0,0,325.75,0,74.25
"40113",0,0,345.25,0,54.75
"40114",23.1875,5.8125,349.5625,0,21.4375
"40115",121.375,0.8125,164,0.8125,113
"40116",92.625,0,276.5,0,30.875
"40117",120.9375,0,256.5,0,22.5625
"40118",0,0,375.5625,0,24.4375
"40119",0,0,333.25,0,66.75
"40120",0.25,0,396.75,0,3
"40121",45.25,0,349.8125,0.5625,4.375
"40122",69.3125,0,302.5625,0,28.125
"40629",176,48.1875,93.0625,15.4375,67.3125
"40630",96.1875,3.0625,295.0625,4.4375,1.25
"40631",5.1875,0.25,394.5625,0,0
"40632",108.125,11.0625,271.375,1.1875,8.25
"40633",134.875,0,262.375,0,2.75
"40634",46,9.0625,343.4375,0,1.5
"40635",28.625,1.125,256.0625,0,114.1875
"40679",0,0,268.1875,0,131.8125
"40680",0,0,400,0,0
"40681",88.375,0,283.4375,0,28.1875
"40719",0,88.375,176.5625,0,135.0625
"40720",16.125,169.5625,120.25,0,94.0625
"40721",140.6875,44.5625,177.375,0,37.375
"40722",39.75,0,360.25,0,0
"40723",254.375,2.5,53.375,3,86.75
"40724",146.75,123.6875,40.5625,3.3125,85.6875
"40725",89.125,72.6875,233.875,0,4.3125
"40726",5.3125,18,376.6875,0,0
"40727",0,4.75,246.625,0,148.625
"40729",228.375,1.5625,85.875,0,84.1875
"40730",60,0,340,0,0
"40731",1.9375,0,398.0625,0,0
"40732",5.4375,0,335.3125,0,59.25
"40751",0,0,378.875,0,21.125
"40752",0,0,353.4375,0,46.5625
"40753",0,0,384.875,0,15.125
"40754",0,0,400,0,0
"40755",0,0,397.4375,0,2.5625
"40756",0,0,399.3125,0,0.6875
"40757",0,0,330.4375,0,69.5625
"40758",123.0625,0,189.125,0,87.8125
"40759",28,0,324.5625,0,47.4375
"40760",9.375,0,355.5,0,35.125
"40761",0,0,309.1875,0,90.8125
"40762",0,0,324.1875,0,75.8125
"40763",0,0,349.8125,0,50.1875
"40764",0,0,371,0,29
"40765",0.625,18.25,364.0625,0,17.0625
"40766",0,52.0625,304.6875,0,43.25
"40767",0,0,349.6875,0,50.3125
"40768",0,0,356.4375,0,43.5625
"40769",0,0,347.6875,0,52.3125
"40770",0,0,370.75,0,29.25
"40771",0,0,379.1875,0,20.8125
"40772",52.5,0,339,0,8.5
"40773",264.625,0,49.4375,1.5625,84.375
"41281",99.125,6.9375,204,0,89.9375
"41282",39.625,21.4375,338.9375,0,0
"41283",110.1875,10.25,268.4375,0.6875,10.4375
"41284",80.6875,1.25,309.5625,0,8.5
"41285",2.5,0,372.125,0.5,24.875
"41286",5.4375,0,234.25,0,160.3125
"41331",64.9375,0,193.875,0,141.1875
"41372",123.4375,0,247.1875,0,29.375
"41373",76.625,0,322.0625,1.3125,0
"41374",59.625,48.6875,291.6875,0,0
"41375",0,80.0625,319.9375,0,0
"41376",30.4375,144.75,224.8125,0,0
"41377",100.9375,12.5625,145.375,0,141.125
"41378",182,70.6875,128.5625,0,18.75
"41379",77.0625,134.125,166.25,0,22.5625
"41380",109.6875,17.375,46.8125,0,226.125
"41402",0,0,284.875,0,115.125
"41403",0,0,387.125,0,12.875
"41404",0,0,400,0,0
"41405",0,0,400,0,0
"41406",0,0,400,0,0
"41407",0,0,392.8125,0,7.1875
"41408",12.25,0,290.625,0,97.125
"41409",27,0,325.4375,0,47.5625
"41410",126.25,0,227.25,0,46.5
"41411",0,0,257.1875,0,142.8125
"41412",0,0,330.625,0,69.375
"41413",0,0,357.3125,0,42.6875
"41414",0,8.625,335.875,0,55.5
"41415",0,93.125,281.4375,0,25.4375
"41416",0,12.1875,380.4375,0,7.375
"41417",0,0,373,0,27
"41418",0,0,376.875,0,23.125
"41419",0,0,358.0625,0,41.9375
"41420",0,0,398.9375,0,1.0625
"41421",1.25,0,398.75,0,0
"41422",84.9375,0,300,0,15.0625
"41423",260.6875,0,119.5625,2.8125,16.9375
"41920",19,0,255.4375,0,125.5625
"41921",76.625,0,309.3125,0,14.0625
"41922",0.125,0,389.1875,0,10.6875
"41923",0,0,243.25,0,156.75
"41928",54.5,0,324.1875,0.125,21.1875
"41932",85.1875,7.0625,307.1875,0.5625,0
"41933",205.1875,1.1875,77.75,1.0625,114.8125
"41936",101.3125,13.375,25.3125,0,260
"42021",287.3125,5.1875,11.3125,0,96.1875
"42022",220.125,0,179.875,0,0
"42023",5.375,0,394.625,0,0
"42024",0,10.4375,389.5625,0,0
"42025",0,77.875,322.125,0,0
"42026",0,8.6875,391.3125,0,0
"42027",0,1.625,398.375,0,0
"42028",0.5625,169.625,228.125,0,1.6875
"42029",1.6875,191.1875,73.75,0,133.375
"42051",0,0,393.6875,0,6.3125
"42052",0,0,399.4375,0,0.5625
"42053",0,0,400,0,0
"42054",0,0,396.375,0,3.625
"42055",0,0,387.6875,0,12.3125
"42056",0,0,367.625,0,32.375
"42057",0,0,390.375,0,9.625
"42058",29.375,0,335.25,0,35.375
"42059",102.375,0,253.3125,0,44.3125
"42060",206.5625,0,138.375,0,55.0625
"42061",0,0,336.875,0,63.125
"42062",0,0,332.75,0,67.25
"42063",0,0,349.8125,0,50.1875
"42064",39.4375,0,288.875,0,71.6875
"42065",9.6875,0,386.8125,0,3.5
"42066",0,0,350.1875,0,49.8125
"42067",0,0,382.4375,0,17.5625
"42068",0,0,379.9375,0,20.0625
"42069",0,0,388.375,0,11.625
"42070",0,0,397.375,0,2.625
"42071",0,0,390.3125,0,9.6875
"42072",0,0,393.1875,0,6.8125
"42073",230.5625,0,130.375,0,39.0625
"42074",187.8125,0,10.4375,0,201.75
"42570",4.6875,0,305.125,0,90.1875
"42571",40.5625,0,321.1875,0,38.25
"42572",0.625,9.25,385.125,0,5
"42573",0,101.8125,291,0,7.1875
"42577",118,9,171.875,0,101.125
"42578",91.625,19.75,286.3125,2.3125,0
"42579",209.125,11.125,101,30.5,48.25
"42581",160.9375,25.25,50.1875,0,163.625
"42582",61.5,10.375,328.125,0,0
"42583",50,0,350,0,0
"42584",2.0625,1.0625,396.875,0,0
"42585",20.8125,0,300.875,0,78.3125
"42610",269.375,6.25,55.5,0,68.875
"42611",232.9375,0,161.125,1,4.9375
"42649",0,0,341.4375,0,58.5625
"42665",23.5,2.25,218,0,156.25
"42666",4.375,0,307.5625,0,88.0625
"42670",207.25,7.1875,21.1875,0,164.375
"42671",239.875,8.4375,64.5,0,87.1875
"42672",115.875,0.1875,283.9375,0,0
"42673",7.1875,1,391.8125,0,0
"42674",0,208.5625,191.4375,0,0
"42675",5.9375,284,110.0625,0,0
"42676",0.375,285.8125,113.8125,0,0
"42677",0,158.3125,241.6875,0,0
"42678",0,183.125,91.4375,0,125.4375
"42701",0,0,233.875,0,166.125
"42702",0,0,354.375,0,45.625
"42703",0,0,376.375,0,23.625
"42704",0,0,393.5,0,6.5
"42705",0,0,324.6875,0,75.3125
"42706",0,0,385.8125,0,14.1875
"42707",0,0,396.625,0,3.375
"42708",0,0,321.1875,0,78.8125
"42709",81.6875,0,289.5625,0,28.75
"42710",158.5,0.3125,115.75,0,125.4375
"42711",53.0625,2.4375,332.3125,0,12.1875
"42712",0,0,365.5625,0,34.4375
"42713",0,0,339,0,61
"42714",166.125,2.875,187.875,0,43.125
"42715",8.875,0,389.8125,0,1.3125
"42716",0,0,371.625,0,28.375
"42717",0,0,385.0625,0,14.9375
"42718",0,0,371.25,0,28.75
"42719",0,0,384.75,0,15.25
"42720",0,0,388,0,12
