new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"30985",0,42,0,2,92,0,0,0,0,2610,1848,260,0,0,46,436,0,0,146,32,33,0,0
"30986",0,53,20,62,301,0,0,0,0,1026,1057,1393,0,175,335,693,0,0,1127,158,0,0,0
"31569",0,0,189,554,1856,0,0,0,0,0,1259,0,0,0,0,10,19,0,560,29,0,12,0
"31570",83,0,181,3183,1265,0,0,0,0,0,1574,0,0,13,0,41,0,32,0,28,0,0,0
"31571",117,8,128,2357,1687,0,0,0,0,280,1687,0,0,0,0,88,0,22,26,0,0,0,0
"31572",105,16,35,1692,1480,0,0,0,0,134,2832,0,0,0,0,106,0,0,0,0,0,0,0
"31573",0,32,213,2846,512,0,0,0,0,19,400,0,0,4,0,751,0,1460,113,50,0,0,0
"31636",0,63,23,19,149,0,0,0,0,1894,985,241,0,163,97,449,0,0,178,238,14,0,0
"31646",0,0,0,0,60,0,0,739,0,710,4624,55,0,0,9,0,0,0,72,0,0,0,0
"32221",18,0,134,1684,356,0,0,0,0,0,351,0,0,0,0,256,0,1766,387,209,11,0,0
"32222",0,0,155,3250,1742,0,0,0,0,219,670,0,0,0,0,38,0,286,0,0,0,40,0
"32223",33,0,179,3220,628,0,0,0,0,12,683,0,0,146,0,11,0,191,308,350,0,0,0
"32294",0,60,32,146,467,0,0,0,0,396,2338,0,0,10,24,44,0,0,39,3,5,0,0
"32295",0,0,0,167,1755,0,0,0,0,0,785,70,0,143,0,0,0,1082,26,1509,393,0,0
"32312",0,0,0,263,1756,0,0,0,0,0,967,772,0,3,0,0,144,94,133,89,0,0,9
"32313",0,0,24,148,1048,0,0,0,0,0,271,4270,0,0,17,197,236,13,6,32,0,0,13
"32872",0,39,205,2739,1883,0,0,0,0,0,320,0,0,0,0,30,0,893,0,0,0,291,0
"32873",10,68,183,1933,782,0,0,0,0,0,376,0,0,40,0,0,0,905,617,31,0,2,0
"32943",0,41,0,165,758,0,0,0,0,266,1324,489,0,40,21,894,0,33,144,76,0,0,0
"32944",0,0,0,0,194,0,0,0,0,61,4776,1291,0,0,0,78,0,0,0,0,0,0,0
"32945",0,0,0,20,970,0,0,406,0,0,4795,209,0,0,0,0,0,0,0,0,0,0,0
"32946",0,0,10,284,2905,0,0,19,0,0,866,0,0,19,0,22,0,1118,77,11,0,0,0
"32954",0,0,28,0,1412,0,0,0,0,54,603,2107,0,688,0,123,0,34,70,0,0,0,0
"32955",0,0,0,97,294,0,0,422,0,2,4076,1244,0,243,0,22,0,0,0,0,0,0,0
"32956",0,42,15,0,357,0,0,522,0,210,2223,785,0,1077,0,517,0,30,67,108,0,0,0
"32960",0,0,0,0,756,0,0,1744,0,0,0,82,0,3705,0,0,0,0,0,0,0,0,0
"32961",0,0,0,0,179,0,0,143,0,63,525,2618,0,2772,0,100,0,0,0,0,0,0,0
"32962",0,0,0,0,175,0,0,7,0,0,2380,3675,0,0,0,163,0,0,0,0,0,0,0
"32963",0,0,0,0,622,0,0,836,0,0,1554,3105,0,0,0,283,0,0,0,0,0,0,0
"32964",0,0,0,0,430,0,0,634,0,0,97,4685,0,0,14,419,57,0,0,0,0,0,0
"32965",0,10,0,146,1948,0,0,14,0,0,994,1295,0,0,0,135,29,85,0,15,0,0,9
"32966",0,0,15,0,1132,0,0,134,0,0,418,1679,0,0,51,33,335,0,11,14,0,8,46
"33522",17,9,95,1461,2764,0,0,0,0,655,1043,0,0,107,0,122,0,126,1,0,0,0,0
"33523",94,29,0,1449,3489,0,0,0,0,74,534,0,0,107,0,315,0,143,166,0,0,0,0
"33592",19,12,36,164,398,0,0,167,0,849,3540,222,0,26,96,32,0,0,21,112,0,0,0
"33593",0,38,0,232,127,0,0,61,0,1380,3230,485,0,565,2,193,0,0,0,87,0,0,0
"33594",0,0,0,0,753,0,0,291,0,168,2788,2041,0,0,0,359,0,0,0,0,0,0,0
"33595",0,0,0,0,173,0,0,650,0,0,5069,508,0,0,0,0,0,0,0,0,0,0,0
"33596",0,0,4,29,1296,0,0,567,0,114,4181,144,0,0,0,52,0,11,2,0,0,0,0
"33604",0,0,0,0,221,0,0,4,0,166,715,2962,0,2009,0,321,0,0,0,2,0,0,0
"33605",0,0,0,91,7,0,0,1234,0,134,1892,674,0,2368,0,0,0,0,0,0,0,0,0
"33606",0,0,0,0,0,0,0,724,0,153,3791,287,0,637,0,787,0,21,0,0,0,0,0
"33607",0,43,0,0,0,0,0,101,0,170,1009,327,0,3039,0,56,0,0,0,0,0,0,0
"33608",0,0,0,9,382,0,0,16,0,337,806,1597,0,1958,23,133,0,0,59,0,0,0,0
"33610",0,15,0,0,275,0,0,0,0,47,615,1288,0,2661,0,0,0,0,0,14,0,0,0
"33611",0,0,0,0,322,0,0,1099,0,51,574,1809,0,2540,0,5,0,0,0,0,0,0,0
"33612",0,0,0,0,0,0,0,1337,0,0,1765,3223,0,0,0,75,0,0,0,0,0,0,0
"33613",0,0,0,0,242,0,0,997,0,0,2292,2326,0,0,0,509,0,0,0,0,0,34,0
"33614",0,0,0,0,303,0,0,326,0,0,1502,3715,0,0,0,554,0,0,0,0,0,0,0
"33615",0,0,0,75,864,0,0,14,0,0,558,4246,0,0,0,434,0,209,0,0,0,0,0
"33617",0,0,0,1,476,0,0,0,0,0,2421,87,0,0,25,285,377,15,18,7,0,0,28
"34241",0,0,14,346,1293,0,0,0,0,13,1049,664,0,35,51,126,0,0,157,215,0,0,0
"34242",0,0,0,50,443,0,0,4,0,626,1940,1161,0,2093,0,83,0,0,0,0,0,0,0
